lookback_h,outcome_h,point,winner,loser,scale
24,48,10,7.823275242829681,-0.8217100839333931,5.751299915959026
24,48,11,8.157165369381152,-0.9781748300646113,5.588694410811647
24,48,12,5.7278961124767065,-0.2841493338550962,5.860157112185858
24,72,0,0.0,0.0,1.0
24,72,1,-5.416325968571571,-0.49199427903817455,1.6820964188505019
24,72,2,-5.997800039073599,-0.7235147058780933,2.163571828286708
24,72,3,4.086590134996952,-1.4700698216881174,3.1192128062455065
24,72,4,5.224555784850995,-4.964413534201007,4.159307927083119
24,72,5,3.1336978004091165,-5.678455890293017,4.576340771413909
24,72,6,3.7400480910757192,-4.870435227492516,4.931604527731107
24,72,7,3.76996717919199,-6.053211176702229,4.853407503284222
24,72,8,9.260158720448107,-5.206044193938414,5.407851341353269
24,72,9,8.215143436275389,-4.886995309051821,5.968587910328393
24,72,10,9.205140044284617,-4.607049737658646,5.751299915959026
24,72,11,9.620789070197713,-4.579411347906623,5.588694410811647
24,72,12,8.668790941443339,-5.106586131436181,5.860157112185858
24,168,0,0.0,0.0,1.0
24,168,1,-5.348471063302882,-0.5071461869520892,1.6820964188505019
24,168,2,-5.965275197048713,-0.9068169788607583,2.163571828286708
24,168,3,4.21478618174666,-1.2634490106894103,3.1192128062455065
24,168,4,6.02440608650062,-3.2629124500934252,4.159307927083119
24,168,5,3.1336978004091165,-5.92141147819509,4.576340771413909
24,168,6,3.7400480910757192,-4.566477495416221,4.931604527731107
24,168,7,3.76996717919199,-6.053211176702229,4.853407503284222
24,168,8,9.12103790515056,-5.1923701119958166,5.407851341353269
24,168,9,7.436145757966734,-4.886995309051821,5.968587910328393
24,168,10,8.819983989863458,-4.1498084174589955,5.751299915959026
24,168,11,9.568654412943003,-4.284607173320616,5.588694410811647
24,168,12,8.41716370700297,-4.849784693750255,5.860157112185858
48,12,0,0.0,0.0,1.0
48,12,1,-0.11115030885026414,3.184982588709917,2.3544559681574135
48,12,2,-6.318436583641681,4.74022388945839,3.87068404663746
48,12,3,-3.455546879238247,8.977479116775145,4.3935054953941055
48,12,4,-13.03147872796432,7.480121308269834,4.985875580485365
48,12,5,-14.861744378476084,10.000640211309932,6.077252411018433
