name,lookback_h,prototype_outcome_h,q,threshold,viable,viable_horizons,disc_n,disc_win24,disc_mean24,disc_mean72,disc_mean168,cal_n,cal_win24,cal_mean24,cal_mean72,cal_mean168
LB24_PROTO48_Q750,24,48,0.75,-0.31589240480730574,False,,143,44.05594405594406,-0.24766403385583885,1.2065169983255448,6.015947827920692,48,20.833333333333336,-1.319481154089337,-2.2627364856094694,-3.2773833330080344
LB24_PROTO48_Q800,24,48,0.8,-0.23316943722919695,False,,115,42.608695652173914,-0.38670813767225487,1.5154925385920965,7.362754079071682,36,11.11111111111111,-1.903403644355753,-3.370873557059893,-1.7797848590343075
LB24_PROTO48_Q850,24,48,0.85,-0.062220141008506896,False,,86,41.86046511627907,-0.29599151715833105,2.4700607854258645,9.65974788613908,22,4.545454545454546,-1.983937806142915,-2.1348025176902348,-1.5081775839641123
LB24_PROTO48_Q875,24,48,0.875,0.05328241209654255,False,,72,43.05555555555556,-0.2878923104702716,2.0365233724894654,10.321621484993436,14,7.142857142857142,-2.1177208822954903,-1.1799784826621809,2.3396021042993818
LB24_PROTO48_Q900,24,48,0.9,0.24560526111992834,False,,58,36.206896551724135,-0.8062655237655134,1.4418884498558744,9.047469403994937,8,0.0,-2.3981407627161913,-0.9166085964453328,5.635811429066612
LB24_PROTO72_Q700,24,72,0.7,-0.13504869247833604,False,,172,43.604651162790695,-0.30207716458941375,1.326418022145576,4.757128323567264,69,23.18840579710145,-1.066600232392015,-0.8566938456378165,-3.5615905031753567
LB24_PROTO72_Q750,24,72,0.75,-0.00805707045674442,False,,143,44.75524475524475,-0.13530393933446655,1.3683598773777843,5.519737674370884,51,21.568627450980394,-1.1534704216776288,-2.083969690428539,-2.5003913047126685
LB24_PROTO72_Q800,24,72,0.8,0.08102535746437793,False,,115,45.21739130434783,-0.20861235974593365,1.6464751529139063,6.441486354556979,41,9.75609756097561,-1.7001847054472623,-3.4033197576199803,-2.110789362163805
LB24_PROTO72_Q850,24,72,0.85,0.20309873619048624,False,,86,46.51162790697674,-0.1674793319155008,2.2390815912987985,7.950439782829677,26,7.6923076923076925,-2.034191170719935,-3.4007743881433936,-0.8268801219604476
LB24_PROTO72_Q875,24,72,0.875,0.28975916087443815,False,,72,48.61111111111111,0.01246256235195167,2.7799737473512494,9.096842074655992,23,8.695652173913043,-2.1502188500368824,-2.8531548165392486,-0.5079731132811255
LB24_PROTO72_Q900,24,72,0.9,0.41773671679573954,False,,58,50.0,0.2833541427851547,3.5857665504459257,10.367166841507453,16,0.0,-2.218204837489001,-1.3544443685746037,0.8634271756870806
LB24_PROTO72_Q925,24,72,0.925,0.5793033586230483,False,,43,53.48837209302325,0.5114565368077791,4.461642499344016,8.754386246135088,9,0.0,-2.2594583222305746,0.9140337416195459,7.773998211365225
LB24_PROTO168_Q700,24,168,0.7,-0.16948754339821165,False,,172,43.604651162790695,-0.30207716458941375,1.326418022145576,4.757128323567264,71,23.943661971830984,-0.5220297614830667,-0.29089397940474143,-3.5100490236614403
LB24_PROTO168_Q750,24,168,0.75,-0.04600890867740581,False,,143,44.75524475524475,-0.05483545099501372,1.545735173143063,5.741084296700406,51,21.568627450980394,-1.1534704216776288,-2.083969690428539,-2.5003913047126685
LB24_PROTO168_Q800,24,168,0.8,0.051560923913356156,False,,115,45.21739130434783,-0.19993036338654552,1.7438311958191595,6.818986402058513,41,9.75609756097561,-1.7001847054472623,-3.4033197576199803,-2.110789362163805
LB24_PROTO168_Q850,24,168,0.85,0.17426366614650599,False,,86,44.18604651162791,-0.3384062219915886,2.1642035716993324,7.956994614691398,25,8.0,-1.9920838259408102,-3.264287068939355,-0.36320071119603276
LB24_PROTO168_Q875,24,168,0.875,0.25472496892689334,False,,72,48.61111111111111,0.01246256235195167,2.7799737473512494,9.096842074655992,23,8.695652173913043,-2.1502188500368824,-2.8531548165392486,-0.5079731132811255
LB24_PROTO168_Q900,24,168,0.9,0.3807746054147576,False,,58,50.0,0.2833541427851547,3.5857665504459257,10.367166841507453,16,0.0,-2.218204837489001,-1.3544443685746037,0.8634271756870806
LB24_PROTO168_Q925,24,168,0.925,0.5454496675291943,False,,43,53.48837209302325,0.36796155150163423,4.471203148322155,8.990615753140453,9,0.0,-2.2594583222305746,0.9140337416195459,7.773998211365225
