event_id,symbol,decision_time,hash_mod,champion_return,baseline_return,delta,state,year
153,ACTUSDT,2026-06-06 11:00:00+00:00,48,3.1719704952581473,3.1719704952581473,0.0,NO_DIP_CASH,2026
154,AEVOUSDT,2026-06-06 11:00:00+00:00,19,3.138632750397452,3.138632750397452,0.0,NO_DIP_CASH,2026
155,ALTUSDT,2026-06-06 11:00:00+00:00,43,0.6912655971479389,0.6912655971479389,0.0,NO_DIP_CASH,2026
156,API3USDT,2026-06-06 11:00:00+00:00,50,3.82090872537193,3.82090872537193,0.0,NO_DIP_CASH,2026
157,APTUSDT,2026-06-06 11:00:00+00:00,26,4.141085271317824,4.141085271317824,0.0,NO_DIP_CASH,2026
158,ARKMUSDT,2026-06-06 11:00:00+00:00,76,4.045709123757901,4.045709123757901,0.0,NO_DIP_CASH,2026
159,ATOMUSDT,2026-06-06 11:00:00+00:00,34,4.266501240694787,4.266501240694787,0.0,NO_DIP_CASH,2026
160,AUSDT,2026-06-06 11:00:00+00:00,43,2.925,2.925,0.0,NO_DIP_CASH,2026
161,AVNTUSDT,2026-06-06 11:00:00+00:00,88,0.978781925343797,0.978781925343797,0.0,NO_DIP_CASH,2026
162,BARDUSDT,2026-06-06 11:00:00+00:00,95,2.502702702702697,2.502702702702697,0.0,NO_DIP_CASH,2026
163,BERAUSDT,2026-06-06 11:00:00+00:00,2,2.3210084033613576,2.3210084033613576,0.0,NO_DIP_CASH,2026
164,BLURUSDT,2026-06-06 11:00:00+00:00,35,4.631804281345553,4.631804281345553,0.0,NO_DIP_CASH,2026
165,BROCCOLI714USDT,2026-06-06 11:00:00+00:00,2,5.355555555555558,5.355555555555558,0.0,NO_DIP_CASH,2026
166,CELOUSDT,2026-06-06 11:00:00+00:00,42,2.825667176610569,2.825667176610569,0.0,NO_DIP_CASH,2026
167,CTSIUSDT,2026-06-06 11:00:00+00:00,61,21.75344591510726,21.75344591510726,0.0,NO_DIP_CASH,2026
168,CYBERUSDT,2026-06-06 11:00:00+00:00,4,3.2383954154727723,3.2383954154727723,0.0,NO_DIP_CASH,2026
169,DOGEUSDT,2026-06-06 11:00:00+00:00,0,4.221600198166953,4.221600198166953,0.0,NO_DIP_CASH,2026
170,EIGENUSDT,2026-06-06 11:00:00+00:00,81,5.487500000000001,5.487500000000001,0.0,NO_DIP_CASH,2026
171,ENSOUSDT,2026-06-06 11:00:00+00:00,32,3.0608695652173834,3.0608695652173834,0.0,NO_DIP_CASH,2026
172,ENSUSDT,2026-06-06 11:00:00+00:00,70,4.497986577181212,4.497986577181212,0.0,NO_DIP_CASH,2026
173,ERAUSDT,2026-06-06 11:00:00+00:00,74,3.2055727554179514,3.2055727554179514,0.0,NO_DIP_CASH,2026
174,ETCUSDT,2026-06-06 11:00:00+00:00,49,4.413095238095255,4.413095238095255,0.0,NO_DIP_CASH,2026
175,FILUSDT,2026-06-06 11:00:00+00:00,78,5.788857938718661,5.788857938718661,0.0,NO_DIP_CASH,2026
176,FLOWUSDT,2026-06-06 11:00:00+00:00,44,3.65814497272019,3.65814497272019,0.0,NO_DIP_CASH,2026
177,FOGOUSDT,2026-06-06 11:00:00+00:00,49,2.208563782337203,2.208563782337203,0.0,NO_DIP_CASH,2026
178,IMXUSDT,2026-06-06 11:00:00+00:00,46,2.5178257394084858,2.5178257394084858,0.0,NO_DIP_CASH,2026
179,IOUSDT,2026-06-06 11:00:00+00:00,46,0.7665427509293556,0.7665427509293556,0.0,DIP,2026
180,KATUSDT,2026-06-06 11:00:00+00:00,53,2.9936127744511154,2.9936127744511154,0.0,NO_DIP_CASH,2026
181,KSMUSDT,2026-06-06 11:00:00+00:00,20,3.1898305084745893,3.1898305084745893,0.0,NO_DIP_CASH,2026
182,LAYERUSDT,2026-06-06 11:00:00+00:00,86,2.1961661341852956,2.1961661341852956,0.0,NO_DIP_CASH,2026
183,LDOUSDT,2026-06-06 11:00:00+00:00,39,4.533959311424107,4.533959311424107,0.0,NO_DIP_CASH,2026
