policy,mode,stable_dev,score,disc_n,cal_n,disc_net24,cal_net24,disc_net48,cal_net48,disc_pf24,cal_pf24
DIP1.5_STRUCT_M4,DIP_RECLAIM,False,-1.0367871775890436,1811,1542,0.21259059397764174,-0.38667006279391786,0.6134399843258203,-0.6321238005016796,1.1187434182407408,0.8200668570655401
IMP1_GB0.3_STRUCT_M4,IMPULSE_GIVEBACK,False,-1.0506715898172183,1931,1529,-0.11674103280989374,-0.5920242655379994,0.4418117966945983,-0.4325830635518285,0.939940910515744,0.7393573927260965
WAIT2H_RECLAIM_M3,DELAYED_CONFIRM,False,-1.0564827932068215,2364,1908,0.04632551689133029,-0.5476009321169083,0.5861167332717023,-0.48418854644176257,1.0266747526452549,0.7530668535184936
WAIT4H_STOCH_MULTI,DELAYED_CONFIRM,False,-1.0592960135255998,2364,1908,0.11699068719091339,-0.5182827630900937,0.5616546654617085,-0.517708421246665,1.0675869372953575,0.7669517081115911
WAIT12H_STRUCT_M4,DELAYED_CONFIRM,False,-1.060033181143467,2364,1908,0.13593486276923378,-0.32833699035577757,0.4970856484970539,-0.7151941561373311,1.0737066114141,0.8349796534964171
IMP0.5_GB0.5_HLHH_M3,IMPULSE_GIVEBACK,False,-1.0601612947890329,2109,1694,0.05466617348461235,-0.5188464300372334,0.43737722526697487,-0.5171603952731174,1.030338421731319,0.7584553052131782
WAIT4H_RECLAIM_M3,DELAYED_CONFIRM,False,-1.0643016146903308,2364,1908,0.045749880858159814,-0.493142933075264,0.5232844783394751,-0.5490782109473531,1.0260018868167782,0.7791952933228631
WAIT12H_TURN4,DELAYED_CONFIRM,False,-1.0673000128889305,2364,1908,0.14942514934873002,-0.34507389866754457,0.509705507194198,-0.7049511635445076,1.0815683214601446,0.8272504932312166
WAIT2H_HLHH_M3,DELAYED_CONFIRM,False,-1.0675873162256126,2364,1908,0.03421170019153239,-0.5707889642526204,0.5286052283440368,-0.47112204493928983,1.0195250130018083,0.7432369296629757
IMP1_GB0.3_TURN4,IMPULSE_GIVEBACK,False,-1.0756827004778013,1934,1531,-0.08946417038564151,-0.6030480855749073,0.5446406445259574,-0.4461641612637396,0.9530195560582481,0.7352954636084544
WAIT4H_STRUCT_M4,DELAYED_CONFIRM,False,-1.077641223721832,2364,1908,0.08341900261257156,-0.5258917965748491,0.5451814767621324,-0.5282952018788061,1.0481255345079836,0.7654577473182321
IMP0.5_GB0.5_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.0825068680096797,2123,1708,0.1600677290405872,-0.5591168952523782,0.47157408963711756,-0.49785645685770896,1.0911349316454084,0.7446648410040748
WAIT12H_STOCH_MULTI,DELAYED_CONFIRM,False,-1.0859363177071621,2364,1908,0.15076031938363343,-0.33517910539488777,0.5129887339944841,-0.7339869175131948,1.082985833557462,0.8322970520092036
IMP1_GB0.5_TURN4,IMPULSE_GIVEBACK,False,-1.0967970251423889,1845,1448,0.11395792071489635,-0.5897101261404382,0.618483763040766,-0.4810248353290296,1.0619205078564966,0.7393793632707908
WAIT4H_TURN4,DELAYED_CONFIRM,False,-1.100363406479219,2364,1908,0.09106435099141502,-0.504557294473916,0.5425149547416251,-0.5730364096917366,1.0524155596847422,0.7723029768643366
IMP1_GB0.3_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.105033567761928,1936,1525,0.004478644192344671,-0.5968661800040492,0.5364407320824802,-0.481652767261911,1.0024041656199905,0.7348537950403203
WAIT2H_STRUCT_M4,DELAYED_CONFIRM,False,-1.1077314755542658,2364,1908,0.03842387178480165,-0.5808460611138048,0.5466247153136666,-0.5007063963497741,1.0219475960423012,0.7382098190931311
IMP0.5_GB0.5_STRUCT_M4,IMPULSE_GIVEBACK,False,-1.107909461212303,2113,1698,0.10473835132996727,-0.5692203932221531,0.44098982788436103,-0.5129828337653237,1.0588859010347675,0.7429376577517379
IMP2_GB1_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.1147519422717387,881,700,0.9471323046502005,-0.27683410666714364,1.5940890778954553,-0.8252476135910196,1.5784520638331032,0.8732977798642456
WAIT12H_RECLAIM_M3,DELAYED_CONFIRM,False,-1.115108699783072,2364,1908,0.15345865678936632,-0.36463744648197527,0.49450210727092964,-0.7323718612036975,1.0826299117755136,0.8190060790260082
WAIT2H_TURN4,DELAYED_CONFIRM,False,-1.123582562110853,2364,1908,0.03604662122341442,-0.6009865545875952,0.5519468179777535,-0.4958325451057134,1.0205591523724793,0.7323653758245571
DIP0.5_TURN4,DIP_RECLAIM,False,-1.1277188247657053,2217,1817,0.013649094650232412,-0.6140819386711508,0.47496162921118873,-0.4863245373356449,1.0077354075595528,0.7268765124109057
WAIT8H_TURN4,DELAYED_CONFIRM,False,-1.1283705299590616,2364,1908,0.05885514032216508,-0.40542582895946133,0.5619397753573064,-0.7034831269276033,1.0331993113637161,0.8053842592800298
WAIT8H_RECLAIM_M3,DELAYED_CONFIRM,False,-1.1287541249673982,2364,1908,0.03484547144449685,-0.4031249656609982,0.5367580574581222,-0.7063469547191474,1.0194391605615323,0.8071779541274722
DIP1.5_RECLAIM_M3,DIP_RECLAIM,False,-1.1433132709430087,1807,1543,0.19584686597959103,-0.47980151113321734,0.5985877974414769,-0.6418317207517025,1.1097490346358478,0.7831996094191116
WAIT12H_HLHH_M3,DELAYED_CONFIRM,False,-1.1486651670177532,2364,1908,0.1321849690790105,-0.36949498496561,0.4960108233642955,-0.7609276625182964,1.0712854662524292,0.8175748046615305
DIP0.5_HLHH_M3,DIP_RECLAIM,False,-1.1490027611685647,2216,1816,0.05322942983057777,-0.614339991556936,0.4911301126088523,-0.5073942678487642,1.0303940272510301,0.7273149823713533
WAIT8H_STRUCT_M4,DELAYED_CONFIRM,False,-1.1556195186785057,2364,1908,0.07460932534124146,-0.41802992557596763,0.5560684403719046,-0.7176100714815064,1.0422949113587212,0.8002047837896826
IMP2_GB0.7_HLHH_M3,IMPULSE_GIVEBACK,False,-1.1622485750087719,1157,883,0.4936801697489146,-0.33940678599909596,0.7936091823744849,-0.8070774889991812,1.271943131635393,0.8423569998950516
IMP1_GB0.5_STRUCT_M4,IMPULSE_GIVEBACK,False,-1.1668673225606385,1832,1442,0.11790992844924535,-0.6014330179917586,0.5602616368077716,-0.5388231925800884,1.0635583943048486,0.733888880112086
DIP0.5_RECLAIM_M3,DIP_RECLAIM,False,-1.1674447780736532,2216,1814,0.058536189470666834,-0.6207051110117959,0.4717879504076573,-0.5193795937339674,1.0333866198888197,0.7263992667211021
IMP1_GB0.5_RECLAIM_M3,IMPULSE_GIVEBACK,False,-1.1709397816641631,1818,1426,0.2522389874775406,-0.5585064746734902,0.5867932319405323,-0.5874302587495627,1.1388739503440857,0.7499695175888972
IMP2_GB1_RECLAIM_M3,IMPULSE_GIVEBACK,False,-1.1711260104062855,819,642,0.9766620029869122,-0.3056495398948318,1.4866894584485881,-0.851726615447214,1.592467471988242,0.8625014493576004
WAIT8H_HLHH_M3,DELAYED_CONFIRM,False,-1.1732224853041389,2364,1908,0.06969193918120933,-0.4312005708524414,0.5683674931201605,-0.721576998670252,1.0395737717879314,0.795550842185546
WAIT8H_STOCH_MULTI,DELAYED_CONFIRM,False,-1.1767661805768241,2364,1908,0.06860039977455744,-0.43475136511997386,0.5297453309088223,-0.7213914390075833,1.03876126781026,0.7937662355073304
IMP1_GB0.5_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.1807248832267245,1851,1454,0.1737337762760794,-0.6168963912413098,0.6406414969967762,-0.5363188308805258,1.0951820456015575,0.7249033889511088
IMP1_GB0.3_RECLAIM_M3,IMPULSE_GIVEBACK,False,-1.1970992220304577,1928,1523,0.00471548569178068,-0.6350692698607646,0.5229852975798145,-0.5341648562484193,1.0024818850541146,0.7213490407872621
IMP1_GB0.3_HLHH_M3,IMPULSE_GIVEBACK,False,-1.197249930253832,1932,1527,-0.11473065827937672,-0.6642447844720413,0.49004658299042503,-0.5040380988539717,0.9408839290893609,0.7103295307218083
IMP2_GB0.7_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.221152813101204,1195,915,0.5674835725852322,-0.3827569318657849,0.8711124491929634,-0.8209613884707793,1.3270689424771474,0.8256550723536037
DIP0.5_STOCH_MULTI,DIP_RECLAIM,False,-1.2233128389440262,2216,1816,0.045454184616618716,-0.6472971508083096,0.49821325354677537,-0.5475769666476078,1.02579085328267,0.7156127851189131
IMP1_GB0.5_HLHH_M3,IMPULSE_GIVEBACK,False,-1.2263983087669943,1830,1436,0.10972076573771476,-0.6171416094745478,0.5917103312676656,-0.5819374879778816,1.059177395007641,0.7268078868543524
IMP2_GB0.7_TURN4,IMPULSE_GIVEBACK,False,-1.244939866108038,1183,908,0.5626807910266741,-0.41860425248678074,1.1358295806546943,-0.8072128572163654,1.3182791380118861,0.8087724359510805
IMP2_GB0.7_RECLAIM_M3,IMPULSE_GIVEBACK,False,-1.2479907499486158,1132,864,0.598334868389847,-0.4129868995118532,0.9726402568587023,-0.8162849547726192,1.3355381295861461,0.8128110433585638
DIP0.5_STRUCT_M4,DIP_RECLAIM,False,-1.2648361750046118,2217,1816,0.03351643388563616,-0.676586218110417,0.4672942100717741,-0.5588566146388828,1.0190196702783252,0.7060665774468781
