feature,rise_mean,control_mean,rise_median,control_median,std_effect,n_rise,n_control
btc4_kdj_j_d1,-1.4788041523075484,0.8844176487326684,-1.2217973734266536,1.779851641230863,-0.15582689753855386,75762,21308
h4_body_frac,0.4359299634109923,0.3964825930023741,0.4326726844583967,0.380952380952383,0.1552765683031347,75746,21308
m15_rvol20,1.1961073279081103,0.9981452412750856,0.8169708893785113,0.6488459755730505,0.1551268263275107,75737,21308
h4_kdj_spread_d1,-0.48883226320208534,0.22903888127913086,-0.4290539313991175,0.43413199988269113,-0.15461801812675852,75672,21308
m15_roc4_d3,-0.2615655108178044,0.002924291623322736,-0.1839824881958218,0.0,-0.15388672811773077,75751,21308
m15_er10_d3,0.03683927061772676,-0.0010969105037689651,0.0314285714285706,0.0,0.15216741712780663,75731,21300
btc1_mfi_d3,-1.502009988019428,0.26645497387198264,-1.5361911112616298,0.1727065927360342,-0.15210402830916786,75700,21303
m15_sweep_reclaim,0.08599297801008421,0.04552280833489769,0.0,0.0,0.15200572804807302,75762,21308
btc1_bb_pctb,0.4503358295161977,0.5048970404298403,0.4466009513775693,0.5023001782369113,-0.15078493324128367,75762,21308
m15_stoch_k_d1,-1.794355874254064,0.05178749517753248,-0.2449587354249729,0.0,-0.14839901978158812,75724,21307
btc4_atr_pct_d1,0.004666153048861686,-0.00663878391437315,-0.0145426086621942,-0.0190488040918681,0.1482470150881517,75762,21308
btc1_stoch_spread_d1,-1.232507898335314,0.053839846018225494,-1.074229225263105,0.0999732835888806,-0.14792230329484105,75762,21308
btc1_cmf_d1,-0.007886856687188368,0.00045225069316881793,-0.0070837574782595,0.0007218960885865,-0.14768631312202796,75704,21305
h1_vwap_dist_acc,-0.25919022656935564,0.003791847771653119,-0.18392892428220547,6.434965989510211e-05,-0.14746514095306723,75704,21308
m15_cmf_d3,-0.015158036786901585,0.0013370805030381275,-0.011943014590239349,0.0009895852215696,-0.14728416365977198,71568,15428
h4_wpr_d1,-1.5123523291083423,0.8621056049965217,-1.1070110701107438,1.1135057471265384,-0.1471724599999167,75633,21308
btc1_macd_hist_d3,-8.154148026006578,0.8161875842651373,-3.927774526121018,0.2686852519579483,-0.14585593104735176,75762,21308
h4_lower_wick,0.2794010338930448,0.3096959748750212,0.2407407407407396,0.2795698924731162,-0.14504022706881992,75746,21308
m15_kdj_j_d3,-4.870006652871814,0.26355703486152643,-3.888341442537399,0.41920186036605145,-0.14485280839100276,75742,21308
h1_bb_pctb,0.4102999723680938,0.4633839806675893,0.3866691957122895,0.44440318333680817,-0.14481846564626422,75714,21308
h1_body_frac,0.4825763192876884,0.44341567408820914,0.499999999999998,0.4374999999999913,0.14473870989086132,75755,21265
btc4_kdj_j_d3,-2.0329529742473986,2.45502095629925,-2.136654365301496,4.35515900010742,-0.14340266835301455,75762,21308
btc1_atr_pct_acc,0.00790740146727688,-0.0001573242203925921,0.0019083194523401,-0.0001232579415592,0.14264450877899634,75762,21308
btc4_body_frac,0.4157996981929373,0.3810499424846036,0.4152350174280923,0.3482798266560636,0.14263108077111858,75762,21308
btc4_motion_net,-0.27327684063250707,0.3157499530692698,0.0,0.0,-0.1423214500098921,75762,21308
h4_wpr_d3,-2.2228004661876186,1.183777813243521,-2.3674540093103644,1.782784556598827,-0.14087662152719216,75617,21308
h1_kdj_k,46.00617204430171,49.01581090684323,43.749955614258084,48.76072869380772,-0.1404546420918016,75724,21308
btc4_ppo_hist,-0.004712899378295047,-0.0509697440227879,-0.0127383424685632,-0.0451499457939287,0.1403818838575289,75762,21308
btc4_kdj_spread_d3,-0.57801226047909,0.6922231834845951,-0.5726265157483681,1.24287908212861,-0.1403538061173773,75762,21308
btc4_er10,0.33704905634169335,0.3052137847310302,0.2998134789973545,0.2725265091725203,0.1402768960503718,75762,21308
h1_di_spread_acc,-1.0003250563637447,0.023722891421748597,-0.6949868289205998,-0.0028758695616133,-0.14017764763567794,75718,21308
h4_stoch_spread,-0.7427004474521274,0.7792716122822237,-0.556474660113004,0.749209844002884,-0.1398512680877574,75496,21308
m15_di_spread_d1,-0.6552672069315916,0.05583611442898527,-0.1753550453630117,0.00864691332349205,-0.13937409884091714,75739,21308
h1_chop14_d3,-1.1421315655013207,-0.001780452365809051,-0.2866525283550274,1.7408297026122455e-13,-0.13886797487062835,75717,21308
h4_kdj_spread_d3,-0.7751732459944078,0.5205642212680641,-0.7305196045071618,1.2306345329646575,-0.13884809536344273,75664,21308
btc4_kdj_spread_d1,-0.40867575418013463,0.21690842394578105,-0.4089483263192548,0.4986781080817764,-0.13840351376603244,75762,21308
btc4_motion_neg,2.400029038304163,2.097334334522245,2.0,1.0,0.13788637865410075,75762,21308
btc1_reclaim_prev_high,0.17902114516512235,0.23301107565233714,0.0,0.0,-0.1376041032788974,75762,21308
h1_stoch_spread_d3,-2.142100284549848,0.146428183674672,-1.646737744064696,-0.06816215635739015,-0.13744413504988426,75677,21308
btc1_ppo_hist,-0.01806818238452539,0.005440281586623983,-0.0191946500783939,0.0068991411006322,-0.1373073516765258,75762,21308
btc1_higher_low,0.46964177292046144,0.538107752956636,0.0,1.0,-0.13721573038047652,75762,21308
pre_ret_48h,-0.16116966066080293,-1.1993533572520196,-0.1967729240456517,-0.794331477404836,0.13700106637397277,75663,21308
btc1_stoch_k_d3,-3.2194320172880087,0.668232238152028,-2.1676047664090774,0.7908066741473427,-0.13687937463467917,75762,21308
h4_kdj_j_d3,-2.6135054925599444,1.8058394246346365,-2.679036341552049,3.448277565550768,-0.1365823131949934,75664,21308
btc1_rvol20_d1,0.10988459531706642,-0.005322304052367839,0.01946958690685515,-0.0138668039955769,0.13402730551608635,75762,21308
h1_structure,0.4592011826509332,0.525999624554158,0.0,1.0,-0.13398396556108322,75762,21308
btc1_turn4,0.16017264591747843,0.21039046367561479,0.0,0.0,-0.1335189242691968,75762,21308
btc1_higher_high,0.4072490166574272,0.47296789938051437,0.0,0.0,-0.13328174240933852,75762,21308
btc1_close_loc,0.4662294447502805,0.5054872398839336,0.4392971246006555,0.5072668550666245,-0.13291404994495506,75762,21308
m15_motion_neg,2.6272009714632665,2.330016895062887,2.0,2.0,0.13238993962671788,75762,21308
