feature,disc_effect,cal_effect,cross_effect,final_effect,min_abs_effect
btc4_kdj_k,0.2684952542368482,0.10978596306328316,0.26725962279810406,0.16608905488227205,0.10978596306328316
btc1_obv_d1,-0.1195558531556266,-0.18121200911669705,-0.10911417023222876,-0.22644902955279017,0.10911417023222876
h4_bb_pctb_d1,-0.10857642097687346,-0.1237348578093326,-0.12838279589660145,-0.11678692405281484,0.10857642097687346
h4_bb_pctb,0.3616452475086316,0.10852935866254115,0.32511025240545083,0.38603983091820937,0.10852935866254115
m15_atr_pct,0.7333303418861039,0.6978916066902534,0.10802996385035168,0.7858159532014781,0.10802996385035168
h1_higher_low,-0.1077062546319763,-0.1865396793253273,-0.15286029908116822,-0.19470884519409468,0.1077062546319763
h4_rsi_d1,-0.10630589319206661,-0.12674594043085463,-0.11803847031488843,-0.10903696978288668,0.10630589319206661
m15_mfi_d1,-0.10569321642193492,-0.14478663452363214,-0.11879724237074364,-0.10955684487676927,0.10569321642193492
m15_vwap_dist_d1,-0.10474210989941195,-0.1378892163297499,-0.12274900261293381,-0.13876522114004708,0.10474210989941195
btc4_tsi_acc,-0.10328650667471098,-0.11143248172285455,-0.10778249295540453,-0.16123768627330667,0.10328650667471098
btc1_vwap_dist_acc,-0.12128046777242633,-0.10250031627795961,-0.11850622127279992,-0.12093399556976923,0.10250031627795961
btc1_di_spread_acc,-0.11558484689621444,-0.10782916754462962,-0.11694595058189368,-0.10239648256855866,0.10239648256855866
btc4_stoch_raw,0.10163324291506465,0.14485000978256785,0.15735413788433222,0.15159741148983968,0.10163324291506465
m15_turn4,-0.10159558955186386,-0.19487628188131853,-0.14088875276290702,-0.11284837941537286,0.10159558955186386
btc1_bb_width_acc,0.12029058332364705,0.10143879481002198,0.11063839014092157,0.11909033826330238,0.10143879481002198
h4_di_spread,0.36963575786371544,0.10128058266293846,0.3217841630810695,0.42588623074913107,0.10128058266293846
btc1_rvol20_d3,0.16699977899032534,0.10087198117657464,0.129285550846152,0.12302673251975518,0.10087198117657464
h1_hammer,-0.10939842718475501,-0.13404450118205022,-0.12906493216697418,-0.1004230799927646,0.1004230799927646
h4_turn4,-0.10013536603674295,-0.1456071341141218,-0.10334118696713003,-0.14195832610054707,0.10013536603674295
h4_donch_pos_d1,-0.09945381397740068,-0.126463421196054,-0.12629834153051364,-0.10688011367767941,0.09945381397740068
h4_ppo_hist_acc,-0.09938865899420585,-0.13130995005925933,-0.12494783909478302,-0.13538743863913358,0.09938865899420585
h1_lower_wick,-0.09953786678526304,-0.20386407899545123,-0.1525486078840207,-0.09924257702336552,0.09924257702336552
btc4_wpr_d1,-0.1207695737336661,-0.09917025814371798,-0.11268662593677851,-0.1313017271368279,0.09917025814371798
btc4_motion_pos,-0.13160831976237827,-0.09909289743709232,-0.10407041779657951,-0.16575501748489305,0.09909289743709232
btc1_stoch_d,-0.10411130441625756,-0.12023688507375681,-0.09770497014709045,-0.16657647899707664,0.09770497014709045
h1_roc12_acc,-0.11414687467037488,-0.10696215925779957,-0.1043485341118467,-0.0964950897864089,0.0964950897864089
btc1_er10,0.223417366717544,0.09593033007001439,0.19787088410139672,0.10061294143270075,0.09593033007001439
h1_chop14_d3,-0.13886797487062835,-0.09575945296873725,-0.14036263400345,-0.15818593511482107,0.09575945296873725
m15_chop14_d1,-0.10274204947363916,-0.0951582053737456,-0.10252064578329767,-0.09807281316744937,0.0951582053737456
h1_bb_width_d1,0.0946204595373285,0.18699303935074915,0.20984902812494252,0.20483700307747363,0.0946204595373285
h4_lower_wick,-0.14504022706881992,-0.09455890943760441,-0.1753599793062605,-0.11985689234272068,0.09455890943760441
h4_vwap_dist_d1,-0.09436411514275456,-0.12473061516339896,-0.11115105217181623,-0.09647285069583457,0.09436411514275456
h1_rvol20_d1,0.13086506026102787,0.09426176295273483,0.1167623664210044,0.10213364343096507,0.09426176295273483
h1_roc4_acc,-0.1297316305199137,-0.09729825871856508,-0.11253225115488419,-0.09400751078010318,0.09400751078010318
btc4_wpr,0.24040110139103418,0.09399703319755348,0.23422798348512475,0.15705226192981026,0.09399703319755348
h1_tsi,0.25769718684328563,0.0931262982598736,0.24461770598790386,0.28730143650188394,0.0931262982598736
m15_kdj_spread_d3,-0.09289722530307802,-0.1152933172816899,-0.1011325649811315,-0.11128074474634497,0.09289722530307802
