candidate,split,n,mean_ret_3h,median_ret_3h,win_3h,mean_ret_6h,median_ret_6h,win_6h,mean_ret_12h,median_ret_12h,win_12h,mean_ret_24h,median_ret_24h,win_24h,mean_mfe_12h,mean_mae_12h,mfe_gt_1_12h,ret_gt_1_12h,mean_ret_12h_ci_low,mean_ret_12h_ci_high
CTX3+trig4s,train_2024_2025,1413,-0.02774951789778655,-0.03649652133969061,46.92144373673036,0.0046934653521416925,-0.009108882163766374,49.25690021231423,0.008899618426683761,-0.0006849541822728789,49.96461429582449,0.005745351296465332,-0.012586318833729404,49.75230007077141,1.2883799345787212,-1.3259850003713383,46.07218683651805,22.717622080679405,-0.08508779835375625,0.10264336007966027
CTX3+trig4s,holdout_2026,499,-0.04228814088543308,-0.07249147294474678,41.883767535070135,-0.02616915759672348,-0.05227324755061602,46.292585170340686,-0.02149709357139097,-0.08345118098390669,48.897795591182366,0.022406430186748177,0.03715914110227203,50.901803607214426,1.1203442661008773,-1.189925545763218,40.28056112224449,18.637274549098194,-0.15281294338747237,0.11171822766178215
CTX3+trig4s+H1recent2h,train_2024_2025,851,-0.03247992928968918,-0.041780825739778926,47.00352526439483,-0.005838063985536291,-0.00801940033486881,49.70622796709753,0.018173585414196496,0.019281941719184736,50.99882491186839,-0.05330887707628195,0.03736773277986938,51.11633372502937,1.2862090191812707,-1.3009960055587781,47.708578143360754,23.384253819036427,-0.09621831473167773,0.13655238890356836
CTX3+trig4s+H1recent2h,holdout_2026,293,-0.0256667847644616,-0.06645046618229955,44.7098976109215,-0.04915940587697605,-0.09829630527907751,43.68600682593857,-0.03152462223227422,-0.13885991455069302,45.73378839590443,-0.0992972075097532,-0.0899271221862008,47.44027303754266,1.088063519029887,-1.1424458100738062,38.907849829351534,17.064846416382252,-0.1942980355329988,0.12443747450220659
CTX3+trig4s+H1recent4h,train_2024_2025,1202,-0.033025014148065,-0.036545553551170507,46.75540765391015,0.010109774524359842,-0.016576281773789114,48.668885191347755,0.008943034306875128,0.0033748217976192763,50.08319467554077,0.028358946083021815,0.022137658140641836,50.49916805324459,1.2943897277920526,-1.3221466272943914,47.088186356073216,22.37936772046589,-0.08907617772923328,0.11277522102093034
CTX3+trig4s+H1recent4h,holdout_2026,415,-0.020345244735576307,-0.0640067520366494,43.6144578313253,-0.029994611757603193,-0.06591193675541396,46.74698795180723,-0.009445270242827056,-0.1265507037591096,47.71084337349398,-0.04145629026657016,-0.004327054810138176,49.63855421686747,1.1252821403261166,-1.1672105676600801,41.204819277108435,17.59036144578313,-0.15947057493730118,0.15251948160447476
CTX3+trig5,train_2024_2025,1368,-0.03499327921786771,-0.016382858406238654,48.53801169590643,0.01037521095460675,0.0007152332482274204,50.07309941520468,0.006173258646340121,-0.012413739732602957,49.707602339181285,0.019144941542775577,0.0027180773453483464,50.0,1.2874363577958712,-1.3358331980875298,45.687134502923975,22.295321637426902,-0.09203832676047906,0.10764068277126215
CTX3+trig5,holdout_2026,489,-0.06415304262070173,-0.09988202146028469,40.081799591002046,-0.049626763825629146,-0.04889255924400704,47.034764826175866,-0.043124905586340016,-0.08479871879047973,46.830265848670756,0.021150622555632815,0.012247376955110134,50.306748466257666,1.1070657359088074,-1.1912040795940717,39.87730061349693,19.427402862985684,-0.1814037369154911,0.09515280946911718
CTX3+trig5+H1recent2h,train_2024_2025,776,0.013959277906440675,-0.03046175184895361,48.45360824742268,0.04302679589282612,0.034372858335207646,51.03092783505154,0.05606405656428026,0.033725103362247655,51.15979381443299,0.02093605774708691,0.041438202837096316,51.41752577319587,1.311888501934463,-1.2777342627930743,48.1958762886598,22.809278350515463,-0.06386965979177255,0.18280130487699434
CTX3+trig5+H1recent2h,holdout_2026,265,-0.027306833208008988,-0.06417213139989775,43.77358490566038,-0.08317281211915335,-0.10141575016751059,43.39622641509434,-0.030152095112103997,-0.1259906580469483,45.28301886792453,-0.08610729047045146,-0.12336206466284638,46.79245283018868,1.0345245618668424,-1.1194590484293776,36.9811320754717,16.60377358490566,-0.18979106741355023,0.12333402875903864
CTX3+trig5+H1recent4h,train_2024_2025,1153,-0.041799072611354085,-0.017409916751320864,48.13529921942758,0.013470147205307816,-0.00801940033486881,49.43625325238508,0.011569569828025617,0.0024016507345958615,50.043365134431916,0.05654448780204243,0.02524798643492865,50.73720728534259,1.298696310969981,-1.3335691449791196,46.66088464874241,22.20294882914137,-0.09393025574433825,0.1152223766673646
CTX3+trig5+H1recent4h,holdout_2026,394,-0.04672948293199521,-0.09546777731163081,40.10152284263959,-0.05073505431005082,-0.07146213951888525,46.192893401015226,-0.038027212102897154,-0.12148704228104878,45.68527918781726,-0.03288486199006631,0.001682530285823658,49.746192893401016,1.0944623132569349,-1.1585820769915114,39.59390862944163,18.274111675126903,-0.17321166908063648,0.09766471906436726
CTX3+trig5s,train_2024_2025,1336,-0.03241196703605498,-0.017553751501925285,47.97904191616767,0.01389746242702434,0.002014960896468132,50.1497005988024,0.008583647898361729,-0.012413739732602957,49.62574850299401,0.014067634699576382,-0.00525011715329371,49.8502994011976,1.289023250086616,-1.3316234484724445,45.808383233532936,22.979041916167663,-0.0921334044022662,0.11193474986696351
