name,a,b,family_a,family_b,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score
btc1_atr_pct GE Q70(0.804549) & m15_vwap_dist_acc GE Q80(1.17818),btc1_atr_pct GE Q70(0.804549),m15_vwap_dist_acc GE Q80(1.17818),atr,vwap,219,204,0.7685101890436322,0.8919838639703236,4.373236451653034,1.7530072719622414,-3.8256495839417823,2.139597977555802,-5.517696961268342,1.0389690467381953,2.2963940342622533
h1_rvol20_d3 GE Q80(0.621147) & m15_atr_pct_d3 GE Q80(0.0315324),h1_rvol20_d3 GE Q80(0.621147),m15_atr_pct_d3 GE Q80(0.0315324),rvol,atr,193,125,1.17956081463926,1.836674076274278,1.351099449933506,2.7884683074439405,-4.085899897425108,10.484696016771487,-5.777947274751675,10.184067085953878,2.2925243221549794
btc1_roc4_d3 LE Q30(-0.481176) & m15_atr_pct_d3 GE Q80(0.0315324),btc1_roc4_d3 LE Q30(-0.481176),m15_atr_pct_d3 GE Q80(0.0315324),roc,atr,167,145,0.8670633560904263,1.929364448805238,4.619265241426461,1.4232797762214835,0.36323292501291604,15.919178775392176,-0.7300120571040623,14.81854984457457,2.2866398789202163
btc1_atr_pct GE Q60(0.732295) & btc1_vwap_dist_acc LE Q20(-0.820672),btc1_atr_pct GE Q60(0.732295),btc1_vwap_dist_acc LE Q20(-0.820672),atr,vwap,306,256,0.8600913404997501,0.8988600742567396,3.449690359203445,1.2942113490588252,4.0891144952058625,2.3846960167714855,2.7238645035002165,2.455942085953879,2.2749624117807974
btc1_atr_pct GE Q80(0.907279) & btc1_roc4_acc LE Q20(-1.11272),btc1_atr_pct GE Q80(0.907279),btc1_roc4_acc LE Q20(-1.11272),atr,roc,199,209,0.9994737639272169,1.1043785659018273,4.044391299948717,1.5330160582156795,-4.676937989439587,7.946896973709286,-5.866472803952071,7.324736942413217,2.274852226380667
btc1_atr_pct GE Q80(0.907279) & btc1_bb_width GE Q80(0.0434586),btc1_atr_pct GE Q80(0.907279),btc1_bb_width GE Q80(0.0434586),atr,bb_,236,214,0.6546124324901406,0.7275083105719472,3.0267649496341127,1.8413035084854261,-4.338380796696207,13.015537138266815,-5.606699360463445,12.382197927075381,2.253630529865412
btc1_atr_pct GE Q80(0.907279) & btc4_adx_d1 GE Q80(1.15404),btc1_atr_pct GE Q80(0.907279),btc4_adx_d1 GE Q80(1.15404),atr,adx,145,120,-0.7609385689646004,2.588689135499473,3.2674889833388914,3.675586100658245,-4.493260983721342,19.05136268343815,-6.185308361047888,18.78406708595388,2.248046417641693
m15_roc12_acc GE Q80(1.37304) & m15_vwap_dist_acc GE Q80(1.17818),m15_roc12_acc GE Q80(1.37304),m15_vwap_dist_acc GE Q80(1.17818),roc,vwap,288,273,0.599696344212578,0.4887041501602061,2.511478486935324,1.7187437920360724,1.311336717428091,4.0788352109106825,-0.033488437676254534,2.978206280093076,2.246118274965596
btc1_atr_pct GE Q60(0.732295) & btc1_ppo_hist_d1 LE Q20(-0.0309186),btc1_atr_pct GE Q60(0.732295),btc1_ppo_hist_d1 LE Q20(-0.0309186),atr,ppo,304,223,0.28271975797623383,1.1489877442291414,2.152358276188705,2.9891324130108656,-3.184277317659628,4.795009918116776,-4.876324694986188,4.142811480572718,2.2420232207354265
btc1_tsi_d1 LE Q30(-0.211069) & btc1_vwap_dist_d1 LE Q20(-0.503192),btc1_tsi_d1 LE Q30(-0.211069),btc1_vwap_dist_d1 LE Q20(-0.503192),tsi,vwap,269,215,0.7513322591199478,1.3497127628524264,2.6222615687930046,1.4608201061440784,0.9086105712075181,5.349812295841254,-0.4116895942231338,4.7142996440934155,2.231176890515789
btc1_atr_pct_d1 GE Q80(0.0207423) & h1_rvol20_d3 GE Q80(0.621147),btc1_atr_pct_d1 GE Q80(0.0207423),h1_rvol20_d3 GE Q80(0.621147),atr,rvol,205,97,1.0547838873107376,2.455368106023543,1.221164638628634,2.024196656626754,-0.8431348272873578,12.307376429142614,-2.5351822046139176,11.206747498325008,2.1999508370284726
