name,a,b,stable_dev,score,disc_veto,cal_veto,disc_bad_removed,cal_bad_removed,disc_clean_preserved,cal_clean_preserved,disc_delayed_preserved,cal_delayed_preserved,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp
m15_ppo_hist_d3 GE Q50(-0.0211379) OR m15_chop14_acc LE Q10(-4.08654),m15_ppo_hist_d3 GE Q50(-0.0211379),m15_chop14_acc LE Q10(-4.08654),True,0.7650093897687887,52.74957698815567,52.67295597484277,56.17834394904458,54.21052631578947,49.47589098532495,47.462686567164184,49.64234620886982,49.12587412587413,0.10263944330574704,0.36616513386482236,0.7407975775166477,0.6316185396441076
m15_er10_d1 GE Q80(0.107262) OR btc1_stoch_spread_d1 GE Q70(-1.83159),m15_er10_d1 GE Q80(0.107262),btc1_stoch_spread_d1 GE Q70(-1.83159),True,0.7638875344747446,43.06260575296108,43.34381551362683,44.07643312101911,46.973684210526315,55.45073375262054,59.85074626865672,57.93991416309014,56.46853146853147,0.29208606586304164,0.2575536880276043,0.48605729908597983,0.8274816792100126
m15_chop14 GE Q60(55.1317) OR m15_er10_d1 GE Q70(0.055889),m15_chop14 GE Q60(55.1317),m15_er10_d1 GE Q70(0.055889),True,0.7625102443015412,56.09137055837563,56.44654088050315,58.216560509554135,58.94736842105262,44.0251572327044,44.32835820895523,46.20886981402003,44.93006993006993,0.24678430660277456,0.3203229591119191,0.6760995445060384,0.47322213867519647
m15_er10_d1 GE Q80(0.107262) OR pre_dd_from_high_2h GE Q60(-0.585504),m15_er10_d1 GE Q80(0.107262),pre_dd_from_high_2h GE Q60(-0.585504),True,0.7605314511933472,50.50761421319797,45.9643605870021,54.64968152866242,49.73684210526316,51.886792452830186,59.55223880597015,53.79113018597997,54.37062937062937,0.20741979510908187,0.4076487581084641,0.47766202571904415,0.5053921205055253
m15_adx_d3 LE Q30(-2.25983) OR btc4_cmo_acc GE Q80(25.2725),m15_adx_d3 LE Q30(-2.25983),btc4_cmo_acc GE Q80(25.2725),True,0.760199997700512,44.247038917089675,38.83647798742139,47.898089171974526,41.44736842105263,57.127882599580715,60.0,57.79685264663805,69.4055944055944,0.21334292380632464,0.3255042959360307,0.5998071074316983,0.49463926522156265
m15_adx_acc GE Q60(0.326347) OR h4_macd_hist GE Q80(0.00320368),m15_adx_acc GE Q60(0.326347),h4_macd_hist GE Q80(0.00320368),True,0.7562841994481954,51.26903553299492,50.0524109014675,54.267515923566876,53.68421052631579,49.58071278825996,48.95522388059702,50.64377682403433,52.27272727272727,0.1869666379016606,0.06365783470227748,0.7064101268707991,0.6326567569344788
m15_kdj_spread GE Q80(3.88) OR btc1_bb_pctb_d3 GE Q80(0.157098),m15_kdj_spread GE Q80(3.88),btc1_bb_pctb_d3 GE Q80(0.157098),True,0.7550096531281556,36.59052453468697,39.72746331236897,39.74522292993631,42.89473684210526,65.09433962264151,63.43283582089553,66.09442060085837,58.56643356643356,0.3303637918169474,0.14148415720534901,0.6689916268462405,0.5504315280178198
h4_donch_pos_d3 LE Q30(0.0363804) OR btc1_stoch_k_d1 GE Q70(1.25682),h4_donch_pos_d3 LE Q30(0.0363804),btc1_stoch_k_d1 GE Q70(1.25682),True,0.7549225862023062,49.36548223350254,50.943396226415096,50.70063694267516,55.13157894736842,49.79035639412998,53.73134328358209,53.36194563662375,50.349650349650354,0.0848736771837355,0.26308641210048156,0.7119381578965548,0.6433458148351183
m15_kdj_spread GE Q70(1.90944) OR m15_er10_d1 GE Q80(0.107262),m15_kdj_spread GE Q70(1.90944),m15_er10_d1 GE Q80(0.107262),True,0.7545780443237317,42.00507614213198,43.44863731656184,45.095541401273884,46.8421052631579,59.538784067085956,60.895522388059696,58.6552217453505,54.02097902097902,0.2625363454744293,0.2799737294842027,0.4302323936664644,0.5287354564077327
m15_adx_acc GE Q60(0.326347) OR btc1_bb_pctb_d3 GE Q90(0.254743),m15_adx_acc GE Q60(0.326347),btc1_bb_pctb_d3 GE Q90(0.254743),True,0.7543224836036192,44.79695431472081,48.270440251572325,45.85987261146497,51.71052631578947,54.71698113207547,50.0,58.22603719599427,54.72027972027972,0.15955806876594797,0.0427365905093835,0.7310409687048832,0.6903275271593524
